budget,country_of_origin,genre,global_ranking,num_of_ratings,rating,release_date,title,us_gross,worldwide_gross
3000000,South Korea,Thriller,296,88888,7.7,21.11.2003,Oldeuboi,2427598,17173767
686033,USA,Drama,299,57346,7.79,01.05.1941,Citizen Kane,1627530,1645133
,USA,Thriller,295,163955,7.62,11.04.2007,Fracture,39015018,92011561
,Italy,Drama,294,71675,7.74,21.05.2013,La grande bellezza,2852400,24930592
25000000,USA,Drama,293,239973,7.59,19.05.2007,No Country for Old Men,74283625,171627166
30000000,USA,Melodrama,292,98138,7.69,16.12.1994,Legends of the Fall,66638883,160638883
180000000,USA,Animation,291,298109,7.58,23.06.2008,WALL·E,223808164,521311890
,Dishes,Drama,290,88302,7.7,15.04.2005,Adams æbler,1305,2421577
30000000,USA,Sensational,289,121097,7.66,02.03.1990,The Hunt for Red October,122012643,200512643
,USA,Drama,287,25469,8.13,20.12.1946,It's a Wonderful Life,1483643,8574081
150000000,USA,Family,288,410802,7.57,06.11.2005,Harry Potter and the Goblet of Fire,290469928,896815106
50000000,USA,Drama,285,310507,7.59,16.09.2005,Lord of War,24149632,72617068
18500000,USA,Horror,286,207044,7.61,14.07.1986,Aliens,85160248,131060248
60000000,USA,Sensational,283,238168,7.6,06.06.2002,The Bourne Identity,121661683,214034224
2000000,Mexico,Drama,282,70160,7.76,14.05.2000,Amores perros,5408467,20908467
,USA,Fantasy,284,321284,7.59,02.12.2013,The Hobbit: The Desolation of Smaug,258387334,959027992
,Poland,Sci-Fi,281,58399,7.8,16.09.2016,Twardowsky 2.0,,
45000000,USA,Drama,280,255084,7.6,16.12.2007,The Bucket List,93466502,175372502
32000000,USA,Biographical,279,86477,7.72,14.09.2000,Men of Honor,48818921,82343495
,United Kingdom,Biographical,278,132877,7.66,05.09.2009,Desert Flower,44348,14682943
260000000,USA,Animation,276,221361,7.62,24.11.2010,Tangled,200821936,592462816
125000000,USA,Crime,277,276347,7.6,10.12.2011,Sherlock Holmes: A Game of Shadows,186848418,543848418
5000000,USA,Biographical,275,50827,7.85,02.10.1980,The Elephant Man,26010864,26023860
,France,Documentary,274,20226,8.31,20.05.2014,Le sel de la terre,1343349,5412466
,France,Comedy rom.,273,60862,7.8,01.06.1998,"Crna mačka, beli mačor",,
6000000,USA,Drama,271,35756,7.98,13.02.1972,Cabaret,,42765000
12000000,USA,Biographical,270,34421,7.99,16.12.1973,Papillon,,53267000
165000000,USA,Sci-Fi,272,133758,7.66,03.09.2021,Dune,108327830,402027830
,USA,Drama,269,37567,7.96,,The Great Dictator,,
11000000,USA,Musical,268,61942,7.8,14.03.1979,Hair,15284643,15313606
2300000,USA,Horror,267,148228,7.65,12.06.1968,Rosemary's Baby,,33395426
2000000,USA,Documentary,266,25392,8.16,15.09.1992,Baraka,,1332110
30000000,USA,Drama,265,154663,7.65,15.06.2015,Southpaw,52421953,91970827
63000000,USA,Action,264,829664,7.57,24.03.1999,The Matrix,172076928,467222728
,France,Drama,262,43587,7.91,04.10.1991,Night on Earth,2015810,2113387
,Poland,Vice,260,150313,7.66,12.04.1982,Znachor,,
113000000,USA,Adventurous,263,256163,7.61,12.05.2005,Star Wars: Episode III - Revenge of the Sith,380270577,868390560
59000000,USA,Animation,258,493874,7.59,12.03.2002,Ice Age,176387405,383257136
,France,Drama,259,92778,7.73,07.12.2016,Demain tout commence,49619118,49619118
85000000,USA,Melodrama,257,187742,7.64,29.11.2005,Memoirs of a Geisha,57490508,162242962
102000000,France,Action,261,261997,7.62,01.07.1991,Terminator 2: Judgment Day,205881154,520881154
,Poland,Drama,256,122644,7.69,25.08.2013,Chce się żyć,1438531,1438531
25000000,USA,Moral drama,255,90211,7.74,27.09.2007,There Will Be Blood,40222514,76182388
14000000,Germany,Comedy,254,112616,7.7,08.09.2019,Jojo Rabbit,33370906,90335025
28000000,United Kingdom,Costume,253,169859,7.66,25.07.2005,Pride & Prejudice,38405088,121616555
,Germany,Drama,252,74719,7.78,01.11.2001,So weit die Füße tragen,,
,Japan,Family,251,69378,7.8,16.04.1988,Tonari no Totoro,2250213,30574632
12800000,Dishes,Drama,249,59186,7.84,17.05.2000,Dancer in the Dark,4184036,40061153
140000000,USA,Sci-Fi,250,377387,7.62,14.04.2008,Iron Man,319034126,585796247
,Italy,Drama,248,171599,7.67,02.02.2016,Perfetti sconosciuti,32207491,32207491
44000000,USA,Western,246,225561,7.65,07.12.2015,The Hateful Eight,54117416,156480177
